cohort_id,label,state,timestamp_utc,pair,side,detail,live_permission,position_boundary
473162->473180,margin_closeout_1,OBSERVE,2026-08-07T13:14:16.516699977Z,USD_JPY,SHORT,completed H4/M5 and S5 bid/ask context,false,NO_TOUCH
473162->473180,margin_closeout_1,DIRECTION,2026-08-07T13:14:16.516699977Z,USD_JPY,SHORT,actual=SHORT; x_h4=SHORT; m5_confirmed=True,false,NO_TOUCH
473162->473180,margin_closeout_1,ENTRY,2026-08-07T13:14:16.516699977Z,USD_JPY,SHORT,actual fill 157.282 x 45000u,false,NO_TOUCH
473162->473180,margin_closeout_1,HOLD_MONITOR,2026-08-07T13:14:35Z,USD_JPY,SHORT,operator exit trigger=PROFIT_HARVEST,false,NO_TOUCH
473162->473180,margin_closeout_1,EXIT,2026-08-10T01:55:49.208487135Z,USD_JPY,SHORT,actual=MARKET_ORDER_MARGIN_CLOSEOUT; pnl_jpy=-45720.0000,false,NO_TOUCH
473162->473180,margin_closeout_1,REENTRY,2026-08-10T02:01:51.890068356Z,USD_JPY,SHORT,observed next=USD_JPY SHORT after 362.682s,false,NO_TOUCH
473183->473186,margin_closeout_2,OBSERVE,2026-08-10T02:01:51.890068356Z,USD_JPY,SHORT,completed H4/M5 and S5 bid/ask context,false,NO_TOUCH
473183->473186,margin_closeout_2,DIRECTION,2026-08-10T02:01:51.890068356Z,USD_JPY,SHORT,actual=SHORT; x_h4=SHORT; m5_confirmed=False,false,NO_TOUCH
473183->473186,margin_closeout_2,ENTRY,2026-08-10T02:01:51.890068356Z,USD_JPY,SHORT,actual fill 158.232 x 40000u,false,NO_TOUCH
473183->473186,margin_closeout_2,HOLD_MONITOR,2026-08-10T02:03:55Z,USD_JPY,SHORT,operator exit trigger=LOSS_BUDGET,false,NO_TOUCH
473183->473186,margin_closeout_2,EXIT,2026-08-10T13:45:23.876672361Z,USD_JPY,SHORT,actual=MARKET_ORDER_MARGIN_CLOSEOUT; pnl_jpy=-30480.0000,false,NO_TOUCH
473183->473186,margin_closeout_2,REENTRY,2026-08-10T15:44:37.266172316Z,USD_JPY,SHORT,observed next=USD_JPY SHORT after 7153.390s,false,NO_TOUCH
473189->473191,manual_win_1,OBSERVE,2026-08-10T15:44:37.266172316Z,USD_JPY,SHORT,completed H4/M5 and S5 bid/ask context,false,NO_TOUCH
473189->473191,manual_win_1,DIRECTION,2026-08-10T15:44:37.266172316Z,USD_JPY,SHORT,actual=SHORT; x_h4=LONG; m5_confirmed=True,false,NO_TOUCH
473189->473191,manual_win_1,ENTRY,2026-08-10T15:44:37.266172316Z,USD_JPY,SHORT,actual fill 158.93 x 38000u,false,NO_TOUCH
473189->473191,manual_win_1,HOLD_MONITOR,2026-08-10T15:56:20Z,USD_JPY,SHORT,operator exit trigger=LOSS_BUDGET,false,NO_TOUCH
473189->473191,manual_win_1,EXIT,2026-08-10T15:52:35.159250442Z,USD_JPY,SHORT,actual=MARKET_ORDER_POSITION_CLOSEOUT; pnl_jpy=532.0000,false,NO_TOUCH
473189->473191,manual_win_1,REENTRY,2026-08-10T16:04:29.862200337Z,USD_JPY,SHORT,observed next=EUR_USD SHORT after 714.703s,false,NO_TOUCH
473193->473195,manual_win_2,OBSERVE,2026-08-10T16:04:29.862200337Z,EUR_USD,SHORT,completed H4/M5 and S5 bid/ask context,false,NO_TOUCH
473193->473195,manual_win_2,DIRECTION,2026-08-10T16:04:29.862200337Z,EUR_USD,SHORT,actual=SHORT; x_h4=LONG; m5_confirmed=False,false,NO_TOUCH
473193->473195,manual_win_2,ENTRY,2026-08-10T16:04:29.862200337Z,EUR_USD,SHORT,actual fill 1.15521 x 30000u,false,NO_TOUCH
473193->473195,manual_win_2,HOLD_MONITOR,2026-08-10T16:06:30Z,EUR_USD,SHORT,operator exit trigger=LOSS_BUDGET,false,NO_TOUCH
473193->473195,manual_win_2,EXIT,2026-08-10T16:33:28.667284312Z,EUR_USD,SHORT,actual=MARKET_ORDER_TRADE_CLOSE; pnl_jpy=809.2680,false,NO_TOUCH
473193->473195,manual_win_2,REENTRY,2026-08-10T16:34:09.364264182Z,EUR_USD,SHORT,observed next=USD_JPY SHORT after 40.697s,false,NO_TOUCH
473197->473199,manual_win_3,OBSERVE,2026-08-10T16:34:09.364264182Z,USD_JPY,SHORT,completed H4/M5 and S5 bid/ask context,false,NO_TOUCH
473197->473199,manual_win_3,DIRECTION,2026-08-10T16:34:09.364264182Z,USD_JPY,SHORT,actual=SHORT; x_h4=LONG; m5_confirmed=False,false,NO_TOUCH
473197->473199,manual_win_3,ENTRY,2026-08-10T16:34:09.364264182Z,USD_JPY,SHORT,actual fill 158.988 x 35000u,false,NO_TOUCH
473197->473199,manual_win_3,HOLD_MONITOR,2026-08-10T16:36:15Z,USD_JPY,SHORT,operator exit trigger=PROFIT_HARVEST,false,NO_TOUCH
473197->473199,manual_win_3,EXIT,2026-08-10T16:37:05.760507295Z,USD_JPY,SHORT,actual=MARKET_ORDER_TRADE_CLOSE; pnl_jpy=1330.0000,false,NO_TOUCH
473197->473199,manual_win_3,REENTRY,2026-08-10T16:38:40.117944680Z,USD_JPY,SHORT,observed next=EUR_USD SHORT after 94.357s,false,NO_TOUCH
473201->473204,manual_win_4,OBSERVE,2026-08-10T16:38:40.117944680Z,EUR_USD,SHORT,completed H4/M5 and S5 bid/ask context,false,NO_TOUCH
473201->473204,manual_win_4,DIRECTION,2026-08-10T16:38:40.117944680Z,EUR_USD,SHORT,actual=SHORT; x_h4=LONG; m5_confirmed=False,false,NO_TOUCH
473201->473204,manual_win_4,ENTRY,2026-08-10T16:38:40.117944680Z,EUR_USD,SHORT,actual fill 1.1552 x 30007u,false,NO_TOUCH
473201->473204,manual_win_4,HOLD_MONITOR,2026-08-10T16:42:50Z,EUR_USD,SHORT,operator exit trigger=PROFIT_HARVEST,false,NO_TOUCH
473201->473204,manual_win_4,EXIT,2026-08-10T16:45:28.335762705Z,EUR_USD,SHORT,actual=MARKET_ORDER_POSITION_CLOSEOUT; pnl_jpy=2380.8153,false,NO_TOUCH
473201->473204,manual_win_4,REENTRY,2026-08-10T16:45:44.514074269Z,EUR_USD,SHORT,observed open boundary=USD_JPY after 16.178s; NO_TOUCH,false,NO_TOUCH
