arm_account_mode,scheduled_decisions,executed,after_cost_terminal_equity_pre_financing_jpy,after_cost_net_pre_financing_jpy,profit_factor_pre_financing,expectancy_pre_financing_jpy,max_realized_sequence_drawdown_jpy,max_equity_drawdown_within_trade_jpy,max_open_risk_jpy,minimum_margin_excess_jpy,peak_broker_margin_jpy,peak_double_gross_margin_jpy,recovery_rate,median_recovery_seconds,max_recovery_seconds,median_holding_seconds,unrecovered_rate,unresolved_inventory_count,margin_closeout_count,margin_closeout_rate,profit_only_original_close_ratio,repeated_hedge_count,netting_reduction_events,estimated_spread_plus_slippage_jpy,cost_ratio_to_gross_profit,turnover_notional_jpy,original_realized_jpy,hedge_realized_jpy,original_terminal_mtm_jpy,hedge_terminal_mtm_jpy,unknown_financing_count,accounting_status,opportunities_per_observed_weekday,projected_200_trade_net_pre_financing_jpy,decision
A_HARD_SL_BASELINE::HEDGING,200,50,245426.64590999958,-8782.372590000428,0.8650659190100057,-175.64745180000858,18849.977552500117,8211.566125000041,6117.811349999983,208850.51250899993,40055.19531,40055.19531,0.0,,,21540.0,0.0,0,0,0.0,0.62,0,0,6292.395690000211,0.11175748503708657,74555797.319675,-8263.41779000041,0.0,0.0,0.0,10,NOT_EVALUABLE_FINANCING,0.25,-35129.49036000171,NOT_EVALUABLE
A_HARD_SL_BASELINE::NETTING,200,50,245426.64590999958,-8782.372590000428,0.8650659190100057,-175.64745180000858,18849.977552500117,8211.566125000041,6117.811349999983,208850.51250899993,40055.19531,40055.19531,0.0,,,21540.0,0.0,0,0,0.0,0.62,0,0,6292.395690000211,0.11175748503708657,74555797.319675,-8263.41779000041,0.0,0.0,0.0,10,NOT_EVALUABLE_FINANCING,0.25,-35129.49036000171,NOT_EVALUABLE
B_NO_SL_NAKED_RETURN_WAIT::HEDGING,200,38,241275.6925599997,-12933.325940000263,0.822309586725354,-340.35068263158587,30566.297507500043,21417.54352499993,19898.620349999972,197073.9532540001,40420.04468700001,40420.04468700001,0.868421052631579,28200.0,617040.0,47220.0,0.13157894736842105,5,0,0.0,1.0,0,0,4453.2981899999295,0.07440467047336839,51554679.0157,60186.58609999976,0.0,-72726.16075000002,0.0,19,NOT_EVALUABLE_FINANCING,0.19,-68070.13652631718,REJECT
B_NO_SL_NAKED_RETURN_WAIT::NETTING,200,38,241275.6925599997,-12933.325940000263,0.822309586725354,-340.35068263158587,30566.297507500043,21417.54352499993,19898.620349999972,197073.9532540001,40420.04468700001,40420.04468700001,0.868421052631579,28200.0,617040.0,47220.0,0.13157894736842105,5,0,0.0,1.0,0,0,4453.2981899999295,0.07440467047336839,51554679.0157,60186.58609999976,0.0,-72726.16075000002,0.0,19,NOT_EVALUABLE_FINANCING,0.19,-68070.13652631718,REJECT
C_NO_SL_DELAYED_ENTRY_EARLY_TP::HEDGING,200,50,263539.58398999996,9330.56549000001,1.1886452361025555,186.61130980000019,25501.68219500003,20143.63329999993,18509.10354999993,196616.28492400004,40420.04468700001,40420.04468700001,0.92,18540.0,598800.0,23670.0,0.08,4,0,0.0,1.0,0,0,6074.448210000314,0.10332191725982122,71034258.6855,59266.394337500074,0.0,-49413.66795000002,0.0,16,NOT_EVALUABLE_FINANCING,0.25,37322.26196000004,REJECT
C_NO_SL_DELAYED_ENTRY_EARLY_TP::NETTING,200,50,263539.58398999996,9330.56549000001,1.1886452361025555,186.61130980000019,25501.68219500003,20143.63329999993,18509.10354999993,196616.28492400004,40420.04468700001,40420.04468700001,0.92,18540.0,598800.0,23670.0,0.08,4,0,0.0,1.0,0,0,6074.448210000314,0.10332191725982122,71034258.6855,59266.394337500074,0.0,-49413.66795000002,0.0,16,NOT_EVALUABLE_FINANCING,0.25,37322.26196000004,REJECT
D_NO_SL_HEDGE_RETURN_025::HEDGING,200,50,249839.50130999964,-4369.517190000446,0.9452113123412069,-87.39034380000892,42321.197349999944,26625.824049999937,24306.12040000003,190896.1049190001,40420.04468700001,80110.39062,0.94,18120.0,506880.0,92160.0,0.14,7,0,0.0,0.8723404255319149,33,0,10351.225140000426,0.13731572990429994,115729946.5115,35189.92513749927,48993.62683000028,-39061.70932499987,-48628.365050000095,28,NOT_EVALUABLE_FINANCING,0.25,-17478.068760001785,REJECT
D_NO_SL_HEDGE_RETURN_025::NETTING,200,50,254350.0791849997,141.06068499967603,1.0043948259411712,2.8212136999935207,7288.409764999989,4241.9938749999565,2148.2390999999016,212468.99722499994,40049.68954350001,40049.68954350001,0.34,9480.0,23880.0,7590.0,0.0,0,0,0.0,0.34,0,33,6292.068090000215,0.1951752021164198,74530831.14575,660.0154849996936,0.0,0.0,0.0,0,EVALUABLE,0.25,564.2427399987041,DIAGNOSTIC_ONLY
D_NO_SL_HEDGE_RETURN_050::HEDGING,200,50,277647.45158249885,23438.433082498974,1.4212763191597675,468.7686616499795,23344.660785000073,18965.725845000008,18148.799749999987,196849.29722499996,40420.04468700001,80066.78177400002,0.94,27780.0,597840.0,65760.0,0.1,5,0,0.0,0.8723404255319149,24,0,9067.641555000335,0.1146711839734918,104289681.653225,50738.89710999881,36470.987367500034,-39061.70932499987,-23942.06397500002,26,NOT_EVALUABLE_FINANCING,0.25,93753.7323299959,REJECT
D_NO_SL_HEDGE_RETURN_050::NETTING,200,50,257499.27662999975,3290.258129999701,1.0722549084905248,65.80516259999402,11463.61836750008,5502.916824999935,3409.1620499998667,211556.940396,40055.19531,40055.19531,0.52,15180.0,232440.0,14940.0,0.0,0,0,0.0,0.52,0,24,6273.018870000177,0.12847420394738043,74530932.852575,3809.212929999719,0.0,0.0,0.0,4,NOT_EVALUABLE_FINANCING,0.25,13161.032519998804,NOT_EVALUABLE
