ペア 28 / 戦略 13 / 保有 [60, 120, 240, 480] = 候補 52 通り
AUD_CAD: 925,147 bars  half=1.10p
AUD_CHF: 923,674 bars  half=0.75p
AUD_JPY: 936,777 bars  half=1.05p
AUD_NZD: 932,233 bars  half=1.30p
AUD_USD: 2,354,396 bars  half=0.65p
CAD_CHF: 900,269 bars  half=0.80p
CAD_JPY: 931,425 bars  half=1.15p
CHF_JPY: 929,712 bars  half=1.85p
EUR_AUD: 937,341 bars  half=1.55p
EUR_CAD: 935,798 bars  half=1.30p
EUR_CHF: 930,639 bars  half=0.80p
EUR_GBP: 927,642 bars  half=0.70p
EUR_JPY: 935,946 bars  half=1.20p
EUR_NZD: 930,009 bars  half=2.90p
EUR_USD: 2,398,149 bars  half=0.75p
GBP_AUD: 935,016 bars  half=2.15p
GBP_CAD: 934,761 bars  half=1.65p
GBP_CHF: 931,178 bars  half=1.20p
GBP_JPY: 937,856 bars  half=1.65p
GBP_NZD: 926,705 bars  half=3.90p
GBP_USD: 2,384,507 bars  half=0.95p
NZD_CAD: 920,280 bars  half=1.30p
NZD_CHF: 743,396 bars  half=0.80p
NZD_JPY: 929,725 bars  half=1.35p
NZD_USD: 2,359,690 bars  half=0.80p
USD_CAD: 933,943 bars  half=0.90p
USD_CHF: 930,534 bars  half=0.75p
USD_JPY: 2,400,140 bars  half=0.80p
